game_id,competition_id,season,date,home_club_id,away_club_id,home_club_goals,away_club_goals,stadium,attendance
2330865,FR1,2013,2013-09-29,273,995,1,3,Roazhon Park,28717
2330876,FR1,2013,2013-09-24,244,618,2,1,Orange Vélodrome,36073
2330859,FR1,2013,2013-09-22,583,162,1,1,Parc des Princes,45416
2330857,FR1,2013,2013-09-22,417,1423,4,0,Allianz Riviera,34459
2330911,FR1,2013,2013-10-20,618,1158,3,2,Stade Geoffroy-Guichard,31359
2330856,FR1,2013,2013-09-22,1041,995,3,1,Stade de Gerland,33861
2330863,FR1,2013,2013-09-22,1158,40,3,3,Stade du Moustoir,14038
2330995,FR1,2013,2013-09-25,995,417,2,0,Stade de la Beaujoire,22290
2330904,FR1,2013,2013-09-28,750,1423,2,0,Stade Auguste-Bonal,14579
2330860,FR1,2013,2013-09-21,1421,855,1,1,Stade Auguste-Delaune,13365
2330862,FR1,2013,2013-09-21,14171,969,2,2,Parc des Sports d’Annecy,10531
2330858,FR1,2013,2013-09-21,273,1147,2,0,Roazhon Park,14865
2330867,FR1,2013,2013-09-24,1082,14171,3,0,Decathlon Arena-Stade Pierre-Mauroy,31252
2330846,FR1,2013,2013-09-15,1041,273,0,0,Stade de Gerland,33352
2330878,FR1,2013,2013-09-25,1423,583,0,1,Stade du Hainaut,19180
2330847,FR1,2013,2013-09-15,162,1158,1,0,Stade Louis-II,8186
2330852,FR1,2013,2013-09-14,855,595,1,1,Stade du Roudourou,13084
2330850,FR1,2013,2013-09-14,1423,618,1,3,Stade du Hainaut,13550
2330848,FR1,2013,2013-09-14,969,1421,0,0,Stade de la Mosson,11667
